date,age,account,old_balance,new_balance,amount,type,message
2025-04-01,50,oa,0.0,167892.11,167892.11,inflow,oa-Initial Balance of oa-167892.11
2025-04-01,50,sa,0.0,253163.35,253163.35,inflow,sa-Initial Balance of sa-253163.35
2025-04-01,50,ma,0.0,72952.37,72952.37,inflow,ma-Initial Balance of ma-72952.37
2025-04-01,50,loan,0.0,251101.0,251101.0,inflow,loan-Initial Balance of loan-251101.00
2025-04-30,50,oa,167892.11,166204.72,-1687.39,outflow,oa-Loan payment from OA Account at year 1--1687.39
2025-04-30,50,loan,251101.0,249413.61,-1687.39,outflow,loan-Loan payment from OA Account at year 1--1687.39
2025-04-30,50,oa,166204.72,167906.93,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-04-30,50,sa,253163.35,253607.18,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-04-30,50,ma,72952.37,73544.33,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-05-31,50,oa,167906.93,166219.54,-1687.39,outflow,oa-Loan payment from OA Account at year 2--1687.39
2025-05-31,50,loan,249413.61,247726.22,-1687.39,outflow,loan-Loan payment from OA Account at year 2--1687.39
2025-05-31,50,oa,166219.54,167921.75,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-05-31,50,sa,253607.18,254051.01,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-05-31,50,ma,73544.33,74136.29,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-06-30,50,oa,167921.75,157921.76,-9999.99,outflow,oa-Loan payment from OA Account at year 3--9999.99
2025-06-30,50,loan,247726.22,237726.23,-9999.99,outflow,loan-Loan payment from OA Account at year 3--9999.99
2025-06-30,50,oa,157921.76,159623.97,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-06-30,50,sa,254051.01,254494.84,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-06-30,50,ma,74136.29,74728.25,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-07-31,51,oa,159623.97,157806.48,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-07-31,51,loan,237726.23,235908.74,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-07-31,51,oa,157806.48,159508.69,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-07-31,51,sa,254494.84,254938.67,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-07-31,51,ma,74728.25,75320.21,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-08-31,51,oa,159508.69,157691.2,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,51,loan,235908.74,234091.25,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,51,oa,157691.2,159393.41,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-08-31,51,sa,254938.67,255382.5,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-08-31,51,ma,75320.21,75912.17,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-09-30,51,oa,159393.41,157575.92,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,51,loan,234091.25,232273.76,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,51,oa,157575.92,159278.13,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-09-30,51,sa,255382.5,255826.33,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-09-30,51,ma,75912.17,76504.13,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-10-31,51,oa,159278.13,157460.64,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-10-31,51,loan,232273.76,230456.27,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-10-31,51,oa,157460.64,159162.85,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-10-31,51,sa,255826.33,256270.16,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-10-31,51,ma,76504.13,77096.09,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-11-30,51,oa,159162.85,157345.36,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-11-30,51,loan,230456.27,228638.78,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-11-30,51,oa,157345.36,159047.57,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-11-30,51,sa,256270.16,256713.99,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-11-30,51,ma,77096.09,77688.05,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-12-31,51,oa,159047.57,157230.08,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-12-31,51,loan,228638.78,226821.29,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-12-31,51,oa,157230.08,158932.29,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-12-31,51,sa,256713.99,257157.82,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-12-31,51,ma,77688.05,78280.01,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-12-31,51,oa,158932.29,159263.4,331.11,inflow,oa-Interest for ra at age 51-331.11
2025-12-31,51,sa,257157.82,258015.01,857.19,inflow,sa-Interest for ra at age 51-857.19
2025-12-31,51,ma,78280.01,78540.94,260.93,inflow,ma-Interest for ra at age 51-260.93
2025-12-31,51,sa,258015.01,258065.01,50.0,inflow,sa-Extra Interest for ra at age 51-50.00
2026-01-31,51,oa,159263.4,157445.91,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-01-31,51,loan,226821.29,225003.8,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-01-31,51,oa,157445.91,159148.12,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-01-31,51,sa,258065.01,258508.84,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-01-31,51,ma,78540.94,79132.9,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-02-28,51,oa,159148.12,157330.63,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-02-28,51,loan,225003.8,223186.31,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-02-28,51,oa,157330.63,159032.84,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-02-28,51,sa,258508.84,258952.67,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-02-28,51,ma,79132.9,79724.86,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-03-31,51,oa,159032.84,157215.35,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-03-31,51,loan,223186.31,221368.82,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-03-31,51,oa,157215.35,158917.56,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-03-31,51,sa,258952.67,259396.5,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-03-31,51,ma,79724.86,80316.82,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-04-30,51,oa,158917.56,157100.07,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-04-30,51,loan,221368.82,219551.33,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-04-30,51,oa,157100.07,158802.28,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-04-30,51,sa,259396.5,259840.33,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-04-30,51,ma,80316.82,80908.78,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-05-31,51,oa,158802.28,156984.79,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-05-31,51,loan,219551.33,217733.84,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-05-31,51,oa,156984.79,158687.0,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-05-31,51,sa,259840.33,260284.16,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-05-31,51,ma,80908.78,81500.74,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-06-30,51,oa,158687.0,156869.51,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-06-30,51,loan,217733.84,215916.35,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-06-30,51,oa,156869.51,158571.72,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
