date,age,account,old_balance,new_balance,amount,type,message
2025-05-01,50,oa,0.0,167892.11,167892.11,inflow,oa-Initial Balance of oa-167892.11
2025-05-01,50,sa,0.0,253163.35,253163.35,inflow,sa-Initial Balance of sa-253163.35
2025-05-01,50,ma,0.0,72952.37,72952.37,inflow,ma-Initial Balance of ma-72952.37
2025-05-01,50,loan,0.0,251101.0,251101.0,inflow,loan-Initial Balance of loan-251101.00
2025-05-31,50,oa,167892.11,166204.72,-1687.39,outflow,oa-Loan payment from OA Account at year 1--1687.39
2025-05-31,50,loan,251101.0,249413.61,-1687.39,outflow,loan-Loan payment from OA Account at year 1--1687.39
2025-05-31,50,oa,166204.72,167906.93,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-05-31,50,sa,253163.35,253607.18,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-05-31,50,ma,72952.37,73544.33,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-06-30,50,oa,167906.93,166219.54,-1687.39,outflow,oa-Loan payment from OA Account at year 2--1687.39
2025-06-30,50,loan,249413.61,247726.22,-1687.39,outflow,loan-Loan payment from OA Account at year 2--1687.39
2025-06-30,50,oa,166219.54,167921.75,1702.21,inflow,oa-Allocation for OA at age 50-1702.21
2025-06-30,50,sa,253607.18,254051.01,443.83,inflow,sa-Allocation for SA at age 50-443.83
2025-06-30,50,ma,73544.33,74136.29,591.96,inflow,ma-Allocation for MA at age 50-591.96
2025-07-31,51,oa,167921.75,157921.76,-9999.99,outflow,oa-Loan payment from OA Account at year 3--9999.99
2025-07-31,51,loan,247726.22,237726.23,-9999.99,outflow,loan-Loan payment from OA Account at year 3--9999.99
2025-07-31,51,oa,157921.76,159623.97,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-07-31,51,sa,254051.01,254494.84,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-07-31,51,ma,74136.29,74728.25,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-08-31,51,oa,159623.97,157806.48,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,51,loan,237726.23,235908.74,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,51,oa,157806.48,159508.69,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2025-08-31,51,sa,254494.84,254938.67,443.83,inflow,sa-Allocation for SA at age 51-443.83
2025-08-31,51,ma,74728.25,75320.21,591.96,inflow,ma-Allocation for MA at age 51-591.96
2025-09-30,51,oa,159508.69,157691.2,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,51,loan,235908.74,234091.25,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,51,oa,157691.2,159393.41,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
